state,year,visitors_thousand,population_thousand,occupancy_pct,intensity,growth_vs_2019
Terengganu,2025,15462.278,1245.8,45.6,12.4115,1.0921
W.P. Kuala Lumpur,2018,19165.4971713709,1790.0,63.3,10.707,0.8468
W.P. Kuala Lumpur,2019,22633.0,1782.5,59.9,12.6973,1.0
W.P. Kuala Lumpur,2020,12435.0,1982.1,25.1,6.2736,0.5494
W.P. Kuala Lumpur,2021,9116.005,1964.0,23.6,4.6416,0.4028
W.P. Kuala Lumpur,2022,16912.534,1961.2,49.0,8.6236,0.7473
W.P. Kuala Lumpur,2023,22232.643,2005.7,59.1,11.0847,0.9823
W.P. Kuala Lumpur,2024,26982.957,2067.5,62.6,13.051,1.1922
W.P. Kuala Lumpur,2025,35059.9331815272,2075.2,66.9,16.8947,1.5491
W.P. Labuan,2018,544.932022066991,99.0,46.2,5.5044,1.0399
W.P. Labuan,2019,524.0,99.3,42.2,5.2769,1.0
W.P. Labuan,2020,107.0,95.1,43.0,1.1251,0.2042
W.P. Labuan,2021,53.899,96.0,27.7,0.5614,0.1029
W.P. Labuan,2022,243.695,96.9,35.3,2.5149,0.4651
W.P. Labuan,2023,331.36,99.0,33.3,3.3471,0.6324
W.P. Labuan,2024,449.63,100.8,37.0,4.4606,0.8581
W.P. Labuan,2025,604.37,100.9,39.4,5.9898,1.1534
W.P. Putrajaya,2018,1891.90699333668,97.2,72.1,19.4641,0.9707
W.P. Putrajaya,2019,1949.0,103.7,64.2,18.7946,1.0
W.P. Putrajaya,2020,451.0,109.2,40.6,4.13,0.2314
W.P. Putrajaya,2021,223.006,115.2,28.1,1.9358,0.1144
W.P. Putrajaya,2022,1305.808,117.0,51.2,11.1608,0.67
W.P. Putrajaya,2023,1900.379,118.8,55.0,15.9965,0.9751
W.P. Putrajaya,2024,2556.836,120.3,56.5,21.2538,1.3119
W.P. Putrajaya,2025,3146.484,120.7,56.0,26.0686,1.6144
